-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 05/15/2025 in LST
Location: latitude  -6.5945   longitude 106.7892 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 371.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
Message(s): 
The IMERG Source Data is not available at the Local Solar Time (LST) standard. 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_LW_DWN,IMERG_PRECTOT
2024,204,35.11,-999.0
2024,205,35.0,-999.0
2024,206,35.23,-999.0
2024,207,35.87,-999.0
2024,208,35.69,-999.0
2024,209,35.23,-999.0
2024,210,35.41,-999.0
2024,211,35.05,-999.0
2024,212,34.58,-999.0
2024,213,35.07,-999.0
2024,214,36.35,-999.0
2024,215,36.61,-999.0
2024,216,36.7,-999.0
2024,217,36.12,-999.0
2024,218,36.38,-999.0
2024,219,34.93,-999.0
2024,220,34.94,-999.0
2024,221,36.56,-999.0
2024,222,35.95,-999.0
2024,223,36.31,-999.0
2024,224,36.81,-999.0
2024,225,36.17,-999.0
2024,226,33.61,-999.0
2024,227,34.65,-999.0
2024,228,35.56,-999.0
2024,229,35.3,-999.0
2024,230,35.81,-999.0
2024,231,35.52,-999.0
2024,232,35.33,-999.0
2024,233,34.84,-999.0
2024,234,35.55,-999.0
2024,235,35.66,-999.0
2024,236,36.27,-999.0
2024,237,35.5,-999.0
2024,238,35.58,-999.0
2024,239,35.79,-999.0
2024,240,35.45,-999.0
2024,241,35.18,-999.0
2024,242,36.1,-999.0
2024,243,35.53,-999.0
2024,244,35.8,-999.0
2024,245,36.01,-999.0
2024,246,36.55,-999.0
2024,247,35.69,-999.0
2024,248,36.51,-999.0
2024,249,36.75,-999.0
2024,250,36.46,-999.0
2024,251,35.68,-999.0
2024,252,36.87,-999.0
2024,253,36.57,-999.0
2024,254,36.84,-999.0
2024,255,37.18,-999.0
2024,256,37.11,-999.0
2024,257,36.31,-999.0
2024,258,34.73,-999.0
2024,259,34.92,-999.0
2024,260,34.57,-999.0
2024,261,33.98,-999.0
2024,262,33.6,-999.0
2024,263,34.36,-999.0
2024,264,35.06,-999.0
2024,265,35.09,-999.0
2024,266,36.82,-999.0
2024,267,37.03,-999.0
2024,268,37.35,-999.0
2024,269,36.51,-999.0
2024,270,36.56,-999.0
2024,271,36.61,-999.0
2024,272,37.13,-999.0
2024,273,36.83,-999.0
2024,274,36.3,-999.0
2024,275,36.07,-999.0
2024,276,36.86,-999.0
2024,277,36.84,-999.0
2024,278,36.96,-999.0
2024,279,37.19,-999.0
2024,280,36.79,-999.0
2024,281,36.37,-999.0
2024,282,36.24,-999.0
2024,283,36.67,-999.0
2024,284,37.15,-999.0
2024,285,37.07,-999.0
2024,286,37.36,-999.0
2024,287,36.55,-999.0
2024,288,36.63,-999.0
2024,289,36.89,-999.0
2024,290,35.34,-999.0
2024,291,33.91,-999.0
2024,292,34.83,-999.0
2024,293,35.69,-999.0
2024,294,35.07,-999.0
2024,295,34.93,-999.0
2024,296,35.75,-999.0
2024,297,36.31,-999.0
2024,298,36.48,-999.0
2024,299,36.56,-999.0
2024,300,35.79,-999.0
2024,301,36.66,-999.0
2024,302,36.88,-999.0
2024,303,36.66,-999.0
2024,304,36.74,-999.0
2024,305,36.95,-999.0
2024,306,36.29,-999.0
2024,307,36.69,-999.0
2024,308,36.25,-999.0
2024,309,36.65,-999.0
2024,310,36.67,-999.0
2024,311,36.83,-999.0
2024,312,36.85,-999.0
2024,313,37.04,-999.0
2024,314,37.19,-999.0
2024,315,36.79,-999.0
2024,316,37.38,-999.0
2024,317,36.72,-999.0
2024,318,36.6,-999.0
2024,319,36.79,-999.0
2024,320,37.16,-999.0
2024,321,37.17,-999.0
2024,322,37.05,-999.0
2024,323,36.81,-999.0
